iter	RMSE
0	67462.33971
1	66232.42021
2	64979.25414
3	63804.50725
4	62547.75573
5	61608.55491
6	60752.1493
7	59601.29223
8	58602.57897
9	57486.0037
10	56560.18504
11	55585.31545
12	54597.18679
13	53793.26248
14	52894.76673
15	51934.49882
16	51053.08764
17	50203.49906
18	49361.04854
19	48577.9948
20	47822.79022
21	47122.62849
22	46333.68373
23	45538.72736
24	44866.77874
25	44190.4067
26	43523.4333
27	42891.43995
28	42194.75542
29	41583.53368
30	40956.12474
31	40338.22254
32	39819.76175
33	39195.89918
34	38656.78885
35	38144.73819
36	37654.88437
37	37109.38154
38	36641.93312
39	36158.20487
40	35780.54024
41	35315.30249
42	34840.24385
43	34414.5391
44	33949.3804
45	33523.19527
46	33172.01624
47	32766.25162
48	32421.14168
49	32094.96853
50	31707.5026
51	31357.90321
52	30964.32035
53	30667.24244
54	30350.84491
55	30009.21094
56	29655.63985
57	29372.28536
58	29043.6968
59	28725.24941
60	28420.94251
61	28154.23847
62	27883.5564
63	27638.94931
64	27329.80168
65	27079.17731
66	26820.2558
67	26611.18469
68	26422.40184
69	26185.88752
70	25958.841
71	25738.93505
72	25508.99986
73	25318.13621
74	25135.96591
75	24946.81215
76	24737.99946
77	24560.80809
78	24389.72655
79	24196.68849
80	23988.4625
81	23813.05017
82	23654.97119
83	23469.45409
84	23303.23027
85	23139.31559
86	22990.67998
87	22849.27524
88	22682.50235
89	22523.07176
90	22381.59495
91	22232.70063
92	22081.09616
93	21926.71549
94	21805.08197
95	21684.66562
96	21546.31315
97	21446.03152
98	21332.65024
99	21208.64812
100	21106.37512
101	21005.3113
102	20899.11266
103	20799.09425
104	20691.84092
105	20573.12913
106	20460.10237
107	20368.86303
108	20253.1012
109	20146.10339
110	20024.91782
111	19929.77691
112	19838.33727
113	19740.43269
114	19686.46709
115	19614.48762
116	19535.59332
117	19453.40671
118	19354.82935
119	19271.43764
120	19198.04854
121	19130.00419
122	19053.93644
123	19037.64334
124	18971.89561
125	18912.39863
126	18847.09145
127	18809.89412
128	18746.8905
129	18721.48776
130	18663.48569
131	18618.54445
132	18544.38624
133	18498.83407
134	18435.40615
135	18370.62706
136	18330.24271
137	18271.53061
138	18261.6054
139	18184.61208
140	18114.9806
141	18059.50145
142	18011.54246
143	17940.95708
144	17923.38471
145	17853.7428
146	17779.47559
147	17757.86775
148	17720.30996
149	17699.11914
150	17636.20185
151	17623.65205
152	17568.3104
153	17510.28602
154	17495.4801
155	17441.51689
156	17428.88694
157	17384.47629
158	17377.16669
159	17312.65891
160	17250.23567
161	17242.11612
162	17185.44165
163	17133.64246
164	17090.84463
165	17069.11738
166	17012.65445
167	16988.31233
168	16979.35194
169	16950.67831
170	16889.95463
171	16857.07203
172	16808.50927
173	16757.66785
174	16716.98023
175	16673.25747
176	16644.30766
177	16602.31852
178	16565.87207
179	16518.88979
180	16472.73912
181	16447.39065
182	16428.87869
183	16384.37713
184	16350.64718
185	16302.74244
186	16279.7647
187	16219.94879
188	16171.36588
189	16127.10383
190	16096.55829
191	16055.66143
192	16012.75227
193	15995.91481
194	15959.05202
