iter	Passed	Remaining
0	16	25292
1	29	22355
2	43	21540
3	55	20630
4	65	19574
5	74	18662
6	83	17754
7	93	17359
8	101	16814
9	111	16628
10	119	16167
11	275	34191
12	312	35782
13	368	39097
14	433	42876
15	460	42689
16	483	42214
17	530	43709
18	563	43917
19	606	44891
20	643	45326
21	679	45680
22	707	45433
23	722	44428
24	737	43495
25	751	42602
26	764	41710
27	776	40835
28	788	39975
29	797	39097
30	810	38419
31	822	37715
32	832	37015
33	843	36385
34	854	35777
35	863	35101
36	872	34513
37	882	33964
38	891	33389
39	900	32876
40	909	32380
41	923	32066
42	932	31609
43	941	31145
44	951	30749
45	959	30329
46	973	30087
47	981	29702
48	989	29295
49	997	28935
50	1005	28565
51	1014	28236
52	1023	27940
53	1034	27691
54	1040	27345
55	1051	27119
56	1059	26816
57	1070	26624
58	1082	26445
59	1090	26167
60	1100	25967
61	1109	25722
62	1130	25777
63	1142	25636
64	1152	25448
65	1161	25244
66	1172	25070
67	1180	24854
68	1191	24704
69	1201	24544
70	1210	24363
71	1221	24225
72	1229	24026
73	1238	23859
74	1245	23666
75	1258	23578
76	1267	23419
77	1274	23228
78	1282	23066
79	1289	22893
80	1296	22713
81	1305	22579
82	1312	22408
83	1321	22282
84	1332	22181
85	1341	22054
86	1350	21936
87	1357	21784
88	1366	21664
89	1373	21514
90	1385	21450
91	1394	21336
92	1405	21270
93	1417	21199
94	1426	21093
95	1438	21039
96	1449	20968
97	1457	20844
98	1466	20757
99	1473	20633
100	1484	20559
101	1491	20438
102	1506	20428
103	1517	20376
104	1530	20336
105	1539	20247
106	1550	20188
107	1557	20076
108	1565	19982
109	1572	19876
110	1582	19797
111	1589	19695
112	1598	19620
113	1605	19518
114	1613	19433
115	1620	19331
116	1632	19301
117	1641	19222
118	1650	19153
119	1660	19097
120	1668	19018
121	1678	18964
122	1687	18887
123	1695	18817
124	1706	18770
125	1715	18711
126	1726	18662
127	1733	18579
128	1741	18511
129	1748	18425
130	1757	18371
131	1764	18288
132	1774	18240
133	1781	18159
134	1789	18097
135	1797	18023
136	1807	17977
137	1814	17909
138	1824	17866
139	1834	17823
140	1842	17762
141	1852	17712
142	1858	17640
143	1867	17582
144	1873	17509
145	1880	17440
146	1888	17383
147	1895	17316
148	1911	17329
149	1920	17287
150	1928	17225
151	1938	17187
152	1948	17155
153	1956	17100
154	1967	17068
155	1976	17028
156	1988	17011
157	1998	16977
158	2002	16885
159	2010	16835
160	2022	16818
161	2032	16789
162	2041	16746
163	2053	16728
164	2063	16692
165	2070	16635
166	2077	16584
167	2084	16530
168	2091	16472
169	2100	16431
170	2107	16376
171	2116	16344
172	2123	16290
173	2135	16274
174	2142	16219
175	2152	16192
176	2161	16154
177	2171	16130
178	2179	16083
179	2187	16044
180	2194	15993
181	2203	15958
182	2210	15907
183	2219	15872
184	2226	15824
185	2234	15787
186	2241	15737
187	2249	15700
188	2256	15651
189	2264	15616
190	2271	15569
191	2282	15551
192	2291	15518
193	2307	15532
194	2320	15526
195	2330	15508
196	2339	15474
197	2350	15456
198	2359	15425
199	2369	15404
200	2380	15385
201	2389	15354
202	2399	15329
203	2406	15289
204	2416	15264
205	2422	15220
206	2432	15195
207	2440	15161
208	2451	15143
209	2461	15122
210	2469	15088
211	2479	15066
212	2487	15032
213	2497	15007
214	2505	14972
215	2515	14951
216	2524	14923
217	2534	14906
218	2544	14880
219	2550	14841
220	2559	14812
221	2566	14772
222	2574	14743
223	2581	14706
224	2588	14669
225	2597	14640
226	2603	14602
227	2612	14574
228	2619	14537
229	2631	14532
230	2640	14504
231	2647	14469
232	2656	14444
233	2664	14415
234	2672	14387
235	2679	14350
236	2687	14324
237	2694	14289
238	2705	14275
239	2733	14350
240	2747	14352
241	2758	14341
242	2779	14375
243	2795	14391
244	2808	14387
245	2820	14375
246	2843	14423
247	2861	14445
248	2932	14735
249	2956	14784
250	3016	15008
251	3038	15047
252	3053	15048
253	3102	15219
254	3129	15277
255	3162	15367
256	3197	15463
257	3248	15636
258	3282	15728
259	3345	15956
260	3395	16118
261	3426	16191
262	3479	16366
263	3510	16434
264	3543	16514
265	3569	16561
266	3598	16617
267	3628	16679
268	3699	16931
269	3777	17208
270	3801	17238
271	3827	17281
272	3841	17266
273	3859	17269
274	3881	17291
275	3897	17283
276	3914	17282
277	3927	17265
278	3940	17243
279	3951	17216
280	3966	17208
281	3978	17184
282	3988	17153
283	3997	17115
284	4007	17083
285	4015	17043
286	4031	17040
287	4042	17012
288	4050	16974
289	4061	16945
290	4071	16917
291	4081	16883
292	4091	16856
293	4099	16818
294	4114	16807
295	4125	16778
296	4135	16751
297	4143	16713
298	4206	16895
299	4227	16909
300	4259	16967
301	4291	17023
302	4312	17038
303	4323	17011
304	4345	17024
305	4360	17015
306	4372	16991
307	4379	16950
308	4386	16908
309	4393	16866
310	4402	16831
311	4409	16788
312	4417	16753
313	4424	16711
314	4433	16676
315	4439	16635
316	4448	16600
317	4454	16558
318	4463	16524
319	4470	16484
320	4478	16449
321	4486	16412
322	4494	16376
323	4501	16337
324	4508	16298
325	4516	16263
326	4523	16224
327	4532	16195
328	4539	16156
329	4548	16124
330	4554	16086
331	4563	16056
332	4570	16017
333	4580	15989
334	4587	15951
335	4595	15921
336	4602	15883
337	4612	15857
338	4619	15821
339	4628	15791
340	4635	15755
341	4643	15724
342	4650	15686
343	4659	15657
344	4666	15621
345	4674	15591
346	4681	15554
347	4689	15524
348	4697	15492
349	4707	15467
350	4714	15432
351	4722	15402
352	4730	15371
353	4739	15343
354	4746	15308
355	4754	15279
356	4761	15243
357	4770	15217
358	4778	15188
359	4791	15173
360	4810	15178
361	4833	15194
362	4847	15183
363	4862	15176
364	4876	15164
365	4888	15146
366	4911	15162
367	4927	15158
368	4938	15137
369	4953	15127
370	4964	15108
371	4979	15099
372	4996	15097
373	5097	15348
374	5126	15379
375	5224	15617
376	5249	15635
377	5349	15880
378	5387	15934
379	5432	16012
380	5464	16049
381	5534	16197
382	5564	16229
383	5626	16350
384	5653	16372
385	5700	16450
386	5730	16481
387	5760	16508
388	5800	16567
389	5833	16604
390	5851	16595
391	5874	16604
392	5892	16597
393	5908	16585
394	5923	16571
395	5938	16555
396	5952	16537
397	5964	16514
398	5978	16497
399	5992	16480
