Year,Estimated Value,Sale Price,Residential,Month,Quarter,rooms_per_bathroom,price_per_sqft,price_to_estimated_ratio,value_area_interaction,rooms_area_interaction,area_per_room,is_recent_sale,Locality_Fairfield,Locality_Greenwich,Locality_Norwalk,Locality_Stamford,Locality_Unknown,Locality_Waterbury,Locality_West Hartford,Property_Four Family,Property_Single Family,Property_Three Family,Property_Two Family,Face_North,Face_South,Face_West
2009,111440.0,185000.0,1,1,1,1.0,185.7429718875502,1.6600861450107682,110994240.0,2988.0,332.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
2009,73080.0,152000.0,1,1,1,3.0,162.5668449197861,2.079912424740011,68329800.0,2805.0,311.6666666666667,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
2009,50540.0,105000.0,1,1,1,3.0,110.41009463722398,2.0775623268698062,48063540.0,2853.0,317.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2009,571060.0,1000000.0,1,1,1,1.5,1001.001001001001,1.7511294785136413,570488940.0,2997.0,333.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
2009,841231.25,272900.0,1,1,1,3.0,281.05046343975283,0.32440544737252686,816835543.75,2913.0,323.6666666666667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2009,841231.25,1335000.0,1,1,1,1.5,1301.169590643275,1.5869595904812144,863103262.5,3078.0,342.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2009,295540.0,1335000.0,1,1,1,3.0,1426.2820512820513,4.517155038235095,276625440.0,2808.0,312.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2009,172620.0,409000.0,1,1,1,1.0,407.37051792828686,2.3693662379793765,173310480.0,3012.0,334.6666666666667,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2009,131950.0,410000.0,2,1,1,1.3333333333333333,330.2456705598067,3.1072375899962106,163815925.0,4966.0,310.375,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2009,88910.0,176000.0,1,1,1,3.0,174.6031746031746,1.9795298616578563,89621280.0,3024.0,336.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2009,208880.0,370000.0,1,1,1,1.5,348.07149576669804,1.7713519724243585,222039440.0,3189.0,354.3333333333333,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
2009,83300.0,220000.0,2,1,1,1.0,177.20499395892065,2.6410564225690276,103416950.0,4966.0,310.375,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
2009,131950.0,284280.0,1,1,1,1.0,280.07881773399015,2.1544524441076165,133929250.0,3045.0,338.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2009,73990.0,195000.0,1,1,1,3.0,203.125,2.6354912826057575,71030400.0,2880.0,320.0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
2009,841231.25,1335000.0,1,1,1,3.0,1386.2928348909657,1.5869595904812144,810105693.75,2889.0,321.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2009,186410.0,340000.0,1,1,1,1.5,364.4158628081458,1.823936484094201,173920530.0,2799.0,311.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2009,841231.25,1335000.0,1,1,1,3.0,1336.3363363363364,1.5869595904812144,840390018.75,2997.0,333.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
2009,71960.0,219000.0,3,1,1,1.5,214.49559255631735,3.0433574207893273,73471160.0,6126.0,170.16666666666666,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2009,841231.25,1335000.0,1,1,1,3.0,1301.169590643275,1.5869595904812144,863103262.5,3078.0,342.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2009,56070.0,75000.0,2,1,1,2.0,60.410793395086586,1.337613697164259,69610905.0,4966.0,310.375,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2009,160904.0,399900.0,2,1,1,2.0,322.11035038260167,2.48533286928852,199762316.0,4966.0,310.375,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2009,342090.0,850000.0,1,1,1,3.0,929.9781181619256,2.484726241632319,312670260.0,2742.0,304.6666666666667,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2009,71050.0,280000.0,2,1,1,1.3333333333333333,225.53362867498993,3.9408866995073892,88208575.0,4966.0,310.375,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2009,60483.0,144500.0,1,1,1,3.0,131.9634703196347,2.3891010697220705,66228885.0,3285.0,365.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,75250.0,205000.0,1,1,1,1.5,196.54841802492808,2.7242524916943522,78485750.0,3129.0,347.6666666666667,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2009,135870.0,362560.0,2,1,1,2.0,292.0338300443012,2.6684330610142046,168682605.0,4966.0,310.375,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2009,154210.0,412000.0,1,1,1,3.0,431.413612565445,2.6716814733156085,147270550.0,2865.0,318.3333333333333,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
2009,131950.0,269900.0,1,1,1,3.0,267.7579365079365,2.0454717696097005,133005600.0,3024.0,336.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2009,841231.25,1335000.0,1,1,1,1.5,1336.3363363363364,1.5869595904812144,840390018.75,2997.0,333.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
2009,121870.0,305000.0,3,1,1,1.0,245.67055980668547,2.5026667760728647,151301605.0,7449.0,206.91666666666666,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2009,693280.0,1335000.0,1,1,1,1.0,1307.5416258570028,1.9256288945303486,707838880.0,3063.0,340.3333333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2009,841231.25,1335000.0,1,1,1,1.5,1253.5211267605634,1.5869595904812144,895911281.25,3195.0,355.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
2009,841231.25,1052000.0,1,1,1,1.5,1069.1056910569105,1.2505479319747097,827771550.0,2952.0,328.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2009,131950.0,133000.0,1,1,1,1.0,128.00769971126084,1.0079575596816976,137096050.0,3117.0,346.3333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2009,68838.0,145000.0,1,1,1,1.5,145.14514514514514,2.1063947238443883,68769162.0,2997.0,333.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2009,159460.0,384000.0,3,1,1,1.5,309.30326218284335,2.408127430076508,197969590.0,7449.0,206.91666666666666,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
